,location,country_code,latitude,longitude,confirmed,dead,recovered,velocity_confirmed,velocity_dead,velocity_recovered,updated
8756,Boninal,br,-12.7098921,-41.83097009999999,1,0.0,,0,0,0,2020-06-13 00:19:46.302125+00:00
8757,Yingtan,cn,28.260189,117.069202,18,0.0,18.0,0,0,0,2020-12-18 17:54:48.508171+00:00
8758,São Gonçalo do Rio Abaixo,br,-19.8245815,-43.3587496,28,0.0,,0,0,0,2020-06-13 00:20:32.670379+00:00
8759,South Bank,cn,41.8802886,-87.6364499,15,0.0,15.0,0,0,0,2020-12-18 17:54:48.508171+00:00
8760,"Washington County, Colorado",us,40.063745,-102.989615,326,10.0,,24,0,0,2020-12-17 17:45:41.346197+00:00
8761,Cantabria,es,43.1828396,-3.9878427,2271,207.0,2287.0,0,0,0,2020-05-22 14:18:25.542712+00:00
8762,Lucélia,br,-21.7186744,-51.0219868,33,5.0,,0,0,0,2020-06-13 00:20:10.223176+00:00
8763,Parintins,br,-2.633616,-56.7319696,1852,63.0,,0,0,0,2020-06-13 00:20:18.944627+00:00
8764,Ponto Belo,br,-18.1236627,-40.5420969,4,0.0,,2,0,0,2020-06-13 00:20:22.413275+00:00
8765,São José dos Cordeiros,br,-7.391137399999999,-36.8075673,3,0.0,,0,0,0,2020-06-13 00:20:33.424168+00:00
8766,Tanabi,br,-20.6286479,-49.6546435,24,0.0,,1,0,0,2020-06-13 00:20:35.760443+00:00
8767,Tarrafas,br,-6.6846652,-39.7541384,16,1.0,,5,0,0,2020-06-13 00:20:36.083633+00:00
8768,Caiana,br,-20.6954791,-41.9237717,1,0.0,,0,0,0,2020-06-13 00:19:48.179997+00:00
8769,"Twiggs County, Georgia",us,32.68356,-83.46435509999999,319,19.0,,8,0,0,2020-12-17 17:45:41.346197+00:00
8770,Buritizeiro,br,-17.3624792,-44.9663359,9,0.0,,2,0,0,2020-06-13 00:19:47.321235+00:00
8771,"Ogemaw County, Michigan",us,44.3270741,-84.1857115,811,24.0,,21,1,0,2020-12-17 17:45:41.346197+00:00
8772,"Ontario County, New York",us,42.85098379999999,-77.2864879,2283,41.0,,80,3,0,2020-12-17 17:45:41.346197+00:00
8773,Leopoldo de Bulhões,br,-16.6193821,-48.7428901,15,0.0,,0,0,0,2020-06-13 00:20:09.672783+00:00
8774,Cândido Mendes,br,-1.4542714,-45.7292814,22,3.0,,0,0,0,2020-06-13 00:19:55.428534+00:00
8775,"Philadelphia County, Pennsylvania",us,40.0152766,-75.1311874,85033,2270.0,,972,16,0,2020-12-17 17:45:41.346197+00:00
8776,"Randolph County, Illinois",us,38.0629321,-89.77553379999999,2911,33.0,,39,3,0,2020-12-17 17:45:41.346197+00:00
8777,"Cleveland County, North Carolina",us,35.361354,-81.6035062,5512,130.0,,84,5,0,2020-12-17 17:45:41.346197+00:00
8778,"Woodford County, Illinois",us,40.7128889,-89.1705998,2433,40.0,,35,5,0,2020-12-17 17:45:41.346197+00:00
8779,"Fleming County, Kentucky",us,38.3987633,-83.67739279999999,578,1.0,,26,0,0,2020-12-17 17:45:41.346197+00:00
8780,Jordão,br,-22.7428673,-45.5963557,7,0.0,,0,0,0,2020-06-13 00:20:07.356824+00:00
8781,"Iron County, Wisconsin",us,46.2855114,-90.2347734,500,18.0,0.0,5,8,0,2020-12-17 17:48:16.112082+00:00
8782,"Livingston County, Louisiana",us,30.4340146,-90.6773046,7718,112.0,,169,0,0,2020-12-17 17:45:41.346197+00:00
8783,"Morrison County, Minnesota",us,45.9846475,-94.052545,2790,36.0,,20,0,0,2020-12-17 17:45:41.346197+00:00
